rank,company_id,company_name,broad_sector,year,return_on_equity_pct,roe_score,net_profit_margin_pct,npm_score,debt_to_equity,de_score,revenue_cagr_5yr,growth_score,interest_coverage,icr_score,composite_score,quality_rating
50,SBILIFE,SBI Life Insurance Company Ltd,Unknown,2024,11.648932898702258,12,1.4349789374791648,5,0.0,20,24.231614182367544,20,240.33333333333334,15,72,Good
51,ULTRACEMCO,ULTRACEMCO,Unknown,2024,11.413672288763953,12,9.877587860326056,10,0.27644422716532224,20,11.329176790681373,15,13.983471074380166,15,72,Good
52,HDFCLIFE,HDFC Life Insurance Company Ltd,Unknown,2024,10.087157139195078,12,1.5510139729213062,5,0.060881825173032554,20,21.16813430936688,20,192.2895238095238,15,72,Good
53,TATAMOTORS,Tata Motors Ltd,Unknown,2024,31.472759296273573,25,7.263066074788551,10,1.0542934040489995,10,7.7201595386239275,10,6.530242339274985,15,70,Good
54,HEROMOTOCO,Hero MotoCorp Ltd,Unknown,2024,19.683341223502183,20,9.902352536452407,10,0.030929461890484455,20,2.1530677970544643,5,47.268505079825836,15,70,Good
55,ONGC,Oil & Natural Gas Corpn Ltd,Unknown,2024,16.209165540655622,20,9.655290194725701,10,0.5435766274171389,15,7.001683761214439,10,11.361290955463998,15,70,Good
56,TATACONSUM,Tata Consumer Products Ltd,Unknown,2024,6.350616767719004,5,7.9902669998684726,10,0.15445327200501777,20,15.96086282879563,20,25.32183908045977,15,70,Good
57,PFC,Power Finance Corporation Ltd,Unknown,2024,24.045399196699563,25,28.916597455960137,20,8.273331152427167,5,11.081753577550923,15,0.5804147544943239,3,68,Good
58,RECLTD,REC Ltd,Unknown,2024,19.242279961909944,20,29.7682934528695,20,6.578928037001768,5,13.338042247865678,15,1.6004741552023507,8,68,Good
59,ICICIBANK,ICICI Bank Ltd,Unknown,2024,17.99027109750765,20,28.888011233982798,20,6.445624336310825,5,17.25086850260209,20,1.3009461331381824,3,68,Good
60,CANBK,Canara Bank,Unknown,2024,16.716051794688113,20,13.935160470145405,15,14.867419925542423,5,18.17561078322378,20,1.6106611743349857,8,68,Good
61,AXISBANK,Axis Bank Ltd,Unknown,2024,15.832712405189048,20,22.73130411725443,20,8.249122739980766,5,14.743587120514379,15,1.691203992514036,8,68,Good
62,BANKBARODA,Bank of Baroda,Unknown,2024,15.761863790899902,20,15.93948250956673,15,12.143718727289434,5,17.477297665890944,20,1.8967477242617206,8,68,Good
63,JINDALSTEL,Jindal Steel & Power Ltd,Unknown,2024,12.553600473162799,12,11.802438733764944,15,0.3647155742379755,20,1.4028310947741707,5,8.004636785162287,15,67,Good
64,NHPC,NHPC Ltd,Unknown,2024,10.032628458990262,12,41.81893687707641,20,0.8520760168372812,15,1.404917217643753,5,11.243421052631579,15,67,Good
65,SHREECEM,Shree Cement Ltd,Unknown,2024,8.300205948560754,5,8.445007553238145,10,0.08055941376502707,20,10.325615915556586,15,19.825581395348838,15,65,Good
66,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Unknown,2024,7.352687057197166,5,0.942341125272681,5,0.0,20,16.84553965244746,20,31.021548821548823,15,65,Good
67,DLF,DLF Ltd,Unknown,2024,6.771571332687001,5,42.38369379181578,20,0.1066447908121411,20,-5.136730668466605,5,7.457865168539326,15,65,Good
68,ZOMATO,ZOMATO,Unknown,2024,1.6464959189417392,5,2.8974739970282317,5,0.054367201426024955,20,55.956890893735014,20,12.347222222222221,15,65,Good
69,TATAPOWER,Tata Power Company Ltd,Unknown,2024,12.707838479809977,12,6.965125551270159,10,1.7314133016627078,10,15.511158201876407,20,3.054392402331103,12,64,Average
70,NTPC,NTPC Ltd,Unknown,2024,12.677094228392127,12,11.950633329785267,15,1.438201245602358,10,12.222309654337993,15,4.604991464108609,12,64,Average
71,JSWSTEEL,JSW Steel Ltd,Unknown,2024,11.263274169658324,12,5.127252779904689,10,1.1957171189717068,10,15.604695052452788,20,3.659099321406539,12,64,Average
72,TVSMOTOR,TVS Motor Company Ltd,Unknown,2024,22.925257731958762,25,4.544641716694342,5,1.8838917525773196,10,14.192387704277065,15,2.9076763485477177,8,63,Average
73,VEDL,VEDL,Unknown,2024,20.11043533930858,25,5.245360996889937,10,2.128894579598805,5,9.32130335133765,10,4.284310618066561,12,62,Average
74,M&M,Mahindra & Mahindra Ltd,Unknown,2024,17.40376159541573,20,8.82238743726542,10,1.6573146861081955,10,5.838805854237616,10,3.7646901709401708,12,62,Average
75,APOLLOHOSP,Apollo Hospitals Chain of Indian private hospitals,Unknown,2024,12.465004666044527,12,4.905818773282963,5,0.9826689774696707,15,14.660042602193135,15,5.565701559020044,15,62,Average
76,PNB,Punjab National Bank,Unknown,2024,61.320565191187306,25,8.395910695456838,10,3.684256345007701,5,15.902076009106025,20,,0,60,Average
77,HDFCBANK,HDFC Bank Ltd,Unknown,2024,14.33974005030719,12,23.07288232992184,20,6.808786667718385,5,21.95098428169122,20,1.4007688224792112,3,60,Average
78,INDUSINDBK,IndusInd Bank Ltd,Unknown,2024,14.252273197764223,12,19.56369677362945,15,6.885742949503957,5,15.495613083358029,20,1.8795270558159352,8,60,Average
79,SHRIRAMFIN,Shriram Finance Ltd,Unknown,2024,14.122385096961368,12,20.333626470264925,20,3.966636127653077,5,18.556070052776754,20,0.6766743648960739,3,60,Average
80,IRFC,Indian Railway Finance Corporation Ltd,Unknown,2024,12.458952686291655,12,24.064552448864703,20,7.832721266880404,5,19.06740855567788,20,1.3194865927068304,3,60,Average
81,ADANIGREEN,Adani Green Energy Ltd,Unknown,2024,11.913767019667171,12,13.665943600867678,15,6.375756429652042,5,34.976172926382844,20,1.713943268078306,8,60,Average
82,RELIANCE,Reliance Industries Ltd,Unknown,2024,9.64301796442261,5,8.789365557299389,10,0.4362971396773213,20,9.606097094616972,10,7.728912535686478,15,60,Average
83,AMBUJACEM,Ambuja Cements Ltd,Unknown,2024,9.40527235191361,5,14.288299155609169,15,0.015463712879148802,20,4.115700788754739,5,28.264492753623188,15,60,Average
84,LODHA,Macrotech Developers Ltd,Unknown,2024,8.545974483062032,5,15.063978286157425,15,0.43939727232732073,20,-2.8278535641862446,5,5.628630705394191,15,60,Average
