company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,high_leverage_flag,interest_coverage,icr_label,icr_warning_flag,asset_turnover,net_debt_cr,free_cash_flow_cr,capex_cr,capex_intensity_pct,fcf_conversion_rate_pct,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,revenue_cagr_5yr_flag,pat_cagr_5yr,pat_cagr_5yr_flag,eps_cagr_5yr,eps_cagr_5yr_flag,composite_quality_score
ADANIPORTS,2023,25.85363514291195,52.498561289084975,11.8773271056864,11.077380771682705,4.789317981930119,1.1772455881380952,False,4.771053745239103,,False,0.18524737258246493,46002.0,-4816.0,16716.0,80.1649721849223,-43.99378825248927,25.0,105.06712962962963,,53434.0,11900.0,12.98928015223748,,7.876933597730829,,6.790716584560208,,
ADANIPORTS,2024,30.339560480700833,58.36172363445772,14.173779208059326,14.479709458392549,6.430980438836646,0.882975374282916,False,5.949506037321624,,False,0.21196682934571281,45996.0,8250.0,6768.0,25.337875781513237,52.92193213163128,38.0,132.35185185185185,,50485.0,15018.0,19.57867595245697,,14.909565182041629,,14.869835499703509,,
ADANIPOWER,2013,-34.294680215182304,14.34548714883443,-53.459119496855344,2.0829717063009894,-4.1965330602691635,9.735616119263918,True,0.6899588960657663,,True,0.12236688121708601,41773.0,-1063.0,4064.0,60.72922893006575,-110.72916666666666,-10.0,1.7939824488090264,,41795.0,3001.0,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,
ADANIPOWER,2014,-1.8984864300626305,29.964770354906058,-4.447501146263182,9.060422543546446,-0.49541190691023,6.747669264863212,True,1.1364728495915426,,True,0.2609509865676978,44035.0,-1462.0,4700.0,30.66283924843424,-31.83104724580884,-1.0,2.2782033426183843,,44150.0,3238.0,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,
ADANIPOWER,2015,-4.367606915377617,25.03880533104962,-14.253275109170305,9.26942358372798,-1.3954920135444813,7.815196506550218,True,1.2060032894736843,,True,0.3195095256011219,44385.0,1087.0,4737.0,25.354600438901677,23.236425823001284,-3.0,1.9933844011142061,,44742.0,5824.0,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,
ADANIPOWER,2016,2.171257437837412,34.6849509398274,7.378146759507231,14.621991129126036,0.7269704725967755,7.06065881092662,True,1.5469424460431656,,False,0.33481542074570547,52729.0,2565.0,2692.0,10.60803089411672,29.141104294478527,2.0,2.2399520095980803,,52729.0,5257.0,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,
ADANIPOWER,2017,-27.299257163070394,26.44145737530951,-205.79999999999998,10.77788191190253,-8.633636783152241,17.494666666666667,True,0.3920704845814978,,True,0.31625903707121983,52320.0,3513.0,1212.0,5.359037849310223,58.745819397993316,-16.0,0.77780658542909,,52484.0,4725.0,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,
ADANIPOWER,2018,-10.35756501182033,26.773049645390074,-236.55793025871765,10.118382845655573,-3.0246807041767347,59.43194600674916,True,1.111310592459605,,True,0.29202623403520883,52835.0,4581.0,520.0,2.56107171000788,84.27152317880795,-5.0,0.23049001814882034,,52835.0,5101.0,24.854768715819798,,,BOTH_NEGATIVE,,BOTH_NEGATIVE,
ADANIPOWER,2019,-4.119912912409982,20.86333947412494,-12.759336099585061,9.11102172164119,-1.4473780981098772,6.091804979253112,True,1.313593777620647,,True,0.3513127895859381,46977.0,4626.0,984.0,4.119912912409982,92.83564118001205,-3.0,1.9994814622763806,,46980.0,5610.0,9.27588040271312,,,BOTH_NEGATIVE,,BOTH_NEGATIVE,
ADANIPOWER,2020,-8.595284872298626,21.66389602538915,-35.102607622280516,9.296368352788587,-3.032322559146951,8.517049837987965,True,1.139604891815616,,True,0.3527890703098967,55196.0,3294.0,2304.0,8.704851141000454,57.446808510638306,-6.0,1.6803214933886441,,55199.0,5598.0,7.214840153417179,,,BOTH_NEGATIVE,,BOTH_NEGATIVE,
